Dataset,Classification Type,Metric,Kernel Type,Q,Sigma,C,D,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Gamma,Total PCA Components
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.0011125564575195312,0.48296918767507,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.001113112767537435,0.4827450980392157,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,3,8,,,0.001056067148844401,0.4825770308123249,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,3,10,,,0.001061852773030599,0.4826890756302521,0.0,0.0,0.005,55
PTSD,Multi,logeuclid,GaussianGeneral,0.5,0.5,,,0.0010934829711914062,0.48313725490196086,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,0.5,1,,,0.0012322584788004556,0.4824649859943977,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,0.5,2,,,0.0011881033579508463,0.48246498599439774,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,0.5,4,,,0.0011397838592529298,0.4829131652661065,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,0.5,8,,,0.001093006134033203,0.48263305322128863,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,0.5,10,,,0.0010776996612548828,0.4828571428571428,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,Gaussian,2,0.5,,,0.0011865297953287761,0.4823529411764706,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,Gaussian,2,1,,,0.0012167930603027345,0.4828571428571429,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,Gaussian,2,2,,,0.0011274019877115886,0.48257703081232495,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,Gaussian,2,4,,,0.001515658696492513,0.48296918767506997,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,Gaussian,2,8,,,0.002012348175048828,0.48257703081232484,0.0,0.01,0.005,60
PTSD,Multi,logeuclid,Gaussian,2,10,,,0.001629018783569336,0.48296918767506997,0.0,0.02,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,3,0.5,,,0.0013726075490315755,0.4829131652661064,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,3,1,,,0.0012751102447509765,0.48268907563025204,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,3,2,,,0.001133569081624349,0.4829691876750701,0.0,0.0,0.005,60
PTSD,Multi,logeuclid,GaussianGeneral,3,4,,,0.0011404037475585937,0.4824089635854341,0.0,0.0,0.005,60
