Dataset,Classification Type,Metric,Kernel Type,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Sigma,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,0.004666666666666667,0.48252100840336143,0.0,0.03,1,0.005,115
PTSD,Multi,logeuclid,Gaussian,0.002,0.48296918767507,0.0,0.02,2,0.005,115
PTSD,Multi,logeuclid,Gaussian,0.002,0.4824649859943978,0.0,0.23,4,0.005,115
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4830252100840336,0.0,0.15,8,0.005,115
PTSD,Multi,logeuclid,Gaussian,0.0,0.4825210084033614,0.0,0.02,10,0.005,115
PTSD,Multi,logeuclid,Gaussian,0.0,0.4846498599439775,0.007344632768361585,0.0,0.5,0.5,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.4831932773109244,0.0,0.07,1,0.5,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.4825770308123249,0.0,0.0,2,0.5,15
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4826330532212885,0.0,0.01,4,0.5,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.4826330532212885,0.0,0.0,8,0.5,15
PTSD,Multi,logeuclid,Gaussian,0.0,0.4826890756302521,0.0,0.03,10,0.5,15
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48285714285714276,0.0,0.03,0.5,0.5,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.4828571428571428,0.0,0.08,1,0.5,20
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4828571428571429,0.0,0.01,2,0.5,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.4832492997198879,0.0,0.02,4,0.5,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.4825210084033614,0.0,0.01,8,0.5,20
PTSD,Multi,logeuclid,Gaussian,0.0,0.48280112044817936,0.0,0.01,10,0.5,20
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4825770308123249,0.0,0.0,0.5,0.5,25
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4827450980392157,0.0,0.01,1,0.5,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.4821288515406162,0.0,0.01,2,0.5,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.48291316526610645,0.0,0.02,4,0.5,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.48296918767506997,0.0,0.01,8,0.5,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.48296918767506997,0.0,0.01,10,0.5,25
PTSD,Multi,logeuclid,Gaussian,0.0,0.48313725490196074,0.001781170483460559,0.02,0.5,0.5,30
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48224089635854334,0.0,0.0,1,0.5,30
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4827450980392157,0.0,0.02,2,0.5,30
PTSD,Multi,logeuclid,Gaussian,0.0,0.4826890756302521,0.0,0.04,4,0.5,30
PTSD,Multi,logeuclid,Gaussian,0.004,0.47882352941176465,-0.005797101449275374,0.01,8,0.5,30
PTSD,Multi,logeuclid,Gaussian,0.0,0.4808403361344538,-0.0015558174042070495,0.0,10,0.5,30
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48257703081232495,0.0021276595744680843,0.01,0.5,0.5,35
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.4825210084033612,0.0,0.0,1,0.5,35
PTSD,Multi,logeuclid,Gaussian,0.0,0.48257703081232495,0.0,0.02,2,0.5,35
PTSD,Multi,logeuclid,Gaussian,0.0,0.48263305322128847,0.0,0.01,4,0.5,35
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4828011204481792,0.0,0.01,8,0.5,35
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.48263305322128847,0.0,0.0,10,0.5,35
PTSD,Multi,logeuclid,Gaussian,0.0,0.4842577030812325,0.005477646722368656,0.0,0.5,0.5,40
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.482577030812325,0.0,0.01,1,0.5,40
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48235294117647065,0.0,0.01,2,0.5,40
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48257703081232495,0.0,0.01,4,0.5,40
PTSD,Multi,logeuclid,Gaussian,0.0,0.48257703081232495,0.0,0.01,8,0.5,40
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4824089635854341,0.0,0.01,10,0.5,40
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4848179271708684,0.004201216141514652,0.01,0.5,0.5,45
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.48313725490196074,0.0,0.01,1,0.5,45
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4830812324929971,0.0,0.01,2,0.5,45
PTSD,Multi,logeuclid,Gaussian,0.0,0.48296918767507,0.0,0.02,4,0.5,45
PTSD,Multi,logeuclid,Gaussian,0.004,0.48296918767507,0.0,0.0,8,0.5,45
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4832492997198879,0.0,0.04,10,0.5,45
PTSD,Multi,logeuclid,Gaussian,0.002,0.48481792717086836,0.004415724286483565,0.02,0.5,0.5,50
